ts_code,name,细分行业,price_now,RPS_50,rps_50_chg,RPS_120,RPS_250,连续天数,pe_ttm,mv_亿,turnover_rate,xueqiu_url,更新日期,初次入选
688202.SH,美迪西,医疗保健,94.7,99.49,-0.2,94.57,90.1,11,,127.23,5.46,https://xueqiu.com/S/SH688202,2026-08-24,2026-08-10
688222.SH,成都先导,化学制药,34.68,97.76,-0.58,92.07,89.19,11,113.23,138.96,4.04,https://xueqiu.com/S/SH688222,2026-08-24,2026-08-10
688237.SH,超卓航科,航空,55.11,87.62,-6.49,88.72,90.03,20,346.65,49.42,1.27,https://xueqiu.com/S/SH688237,2026-08-24,2026-07-24
688260.SH,昀冢科技,元器件,104.0,96.78,7.8,99.87,99.13,35,,124.8,4.21,https://xueqiu.com/S/SH688260,2026-08-24,2026-07-01
688296.SH,和达科技,软件服务,24.11,99.55,-0.18,96.72,89.27,9,,25.89,8.06,https://xueqiu.com/S/SH688296,2026-08-24,2026-08-12
688309.SH,恒誉科技,环境保护,73.0,96.71,6.08,97.45,97.85,2,54.62,57.96,1.98,https://xueqiu.com/S/SH688309,2026-08-24,2026-08-21
688328.SH,深科达,专用机械,89.1,97.69,0.22,99.71,98.33,7,128.96,84.16,12.19,https://xueqiu.com/S/SH688328,2026-08-24,2026-08-14
688345.SH,博力威,电气设备,53.19,88.49,-0.85,95.45,92.59,7,58.68,53.93,1.63,https://xueqiu.com/S/SH688345,2026-08-24,2026-08-14
688352.SH,颀中科技,半导体,18.04,88.07,999.0,92.53,88.41,1,,66.1,6.18,https://xueqiu.com/S/SH688352,2026-08-24,2026-08-24
688361.SH,中科飞测,半导体,349.5,98.93,-0.27,98.64,99.31,47,21773.47,1230.42,2.52,https://xueqiu.com/S/SH688361,2026-08-24,2026-06-09
688362.SH,甬矽电子,半导体,63.24,88.0,999.0,94.5,92.05,1,342.3,286.62,3.65,https://xueqiu.com/S/SH688362,2026-08-24,2026-08-24
688392.SH,骄成超声,专用机械,193.1,96.46,3.43,94.88,95.56,6,154.96,223.48,4.08,https://xueqiu.com/S/SH688392,2026-08-24,2026-08-17
688409.SH,富创精密,半导体,207.25,92.71,-0.69,98.81,98.63,15,887.7,634.62,2.33,https://xueqiu.com/S/SH688409,2026-08-24,2026-07-31
688432.SH,有研硅,半导体,48.29,99.89,0.24,99.82,99.18,47,255.35,603.77,5.46,https://xueqiu.com/S/SH688432,2026-08-24,2026-06-09
688448.SH,磁谷科技,专用机械,64.58,96.26,0.86,93.76,94.23,5,943.27,62.98,2.94,https://xueqiu.com/S/SH688448,2026-08-24,2026-08-18
688469.SH,芯联集成,半导体,8.68,94.73,-0.83,89.56,91.09,10,,509.5,2.01,https://xueqiu.com/S/SH688469,2026-08-24,2026-08-11
